Edit,Active,Element,Area,Control System Name,Type,Keyword,Linac Z (m),Operation Status,Op Status Date,Filename
2508,A,SLOT_U15,UND,,NONMAD,,,,,AD_ACCEL
2506,A,SLOT_U21,UND,,NONMAD,,,,,AD_ACCEL
2507,A,SLOT_U22,UND,,NONMAD,,,,,AD_ACCEL
9209,A,VGCC_UND_PEPX1,UNDS,VGCC:UNDS:4996,NONMAD,,,,,AD_ACCEL
9212,A,VGCC_UND_PEPX2,UNDS,VGCC:UNDS:5030,NONMAD,,,,,AD_ACCEL
9214,A,VGCC_UND_PEPX3,UNDS,VGCC:UNDS:5076,NONMAD,,,,,AD_ACCEL
9210,A,VGPR_UND_PEPX1,UNDS,VGPR:UNDS:4996,NONMAD,,,,,AD_ACCEL
9213,A,VGPR_UND_PEPX2,UNDS,VGPR:UNDS:5030,NONMAD,,,,,AD_ACCEL
9215,A,VGPR_UND_PEPX3,UNDS,VGPR:UNDS:5076,NONMAD,,,,,AD_ACCEL
9211,A,VPPEPX1,UNDS,VPIO:UNDS:5018,NONMAD,,,,,AD_ACCEL
9216,A,VPPEPX2,UNDS,VPIO:UNDS:5078,NONMAD,,,,,AD_ACCEL
