STUDENT_NUM,SESSION_DATE
94,23-Sep-14
361,14-Oct-15
965,13-May-22
1023,19-Aug-22
1066,26-Mar-15
1368,6-Mar-15
1589,26-Mar-15
1910,6-Mar-15
2097,23-Sep-14
5134,19-May-22
7099,23-Sep-14
15539,6-Mar-15
18619,6-Mar-15
19453,26-Mar-15
19585,26-Mar-15
21660,6-Mar-15
23680,23-Sep-14
23884,6-Mar-15
24040,16-Mar-23
26875,26-Mar-15
27790,12-Mar-15
28355,12-Apr-18
29203,17-Mar-15
29289,6-Mar-15
31682,12-Apr-18
33790,6-Mar-15
33944,24-Mar-15
34649,12-Apr-18
37184,26-Mar-15
37818,26-Mar-15
38369,26-Mar-15
43001,25-Feb-16
43036,24-Mar-15
43125,12-Mar-15
43125,14-Oct-15
43419,23-Sep-14
46779,26-Mar-15
48941,17-Mar-15
52370,23-Sep-14
53988,26-Mar-15
56251,6-Mar-15
57193,26-Mar-15
64700,6-Mar-15
70025,23-Sep-14
70912,13-May-22
70920,26-Mar-15
70939,10-May-18
71277,5-Feb-20
71510,6-Mar-15
75892,12-Apr-18
81230,17-Apr-15
81744,14-Oct-15
81760,12-Mar-15
83674,12-Apr-18
85545,6-Mar-15
86720,12-Mar-15
87467,6-Mar-15
87467,12-Mar-15
89931,12-Apr-18
90441,19-Aug-22
90859,22-Jul-22
92592,2-Feb-23
99716,6-Mar-15
109320,12-Mar-15
110094,12-Apr-18
110205,6-Mar-15
110361,23-Sep-14
110361,17-Mar-15
112984,6-Mar-15
113654,16-Mar-23
122165,12-Mar-15
122190,11-Mar-15
122858,12-Mar-15
123056,17-Mar-15
123056,10-May-18
124710,23-Sep-14
128813,12-Mar-15
129798,12-Mar-15
129798,14-Oct-15
130435,23-Sep-14
134015,2-Feb-23
139521,17-Mar-15
139521,10-May-18
139882,23-Sep-14
141119,19-Aug-22
141402,6-Mar-15
143421,12-Mar-15
143715,23-Sep-14
144088,11-May-22
144177,19-Aug-22
144495,16-Mar-23
145084,26-Mar-15
145521,12-Mar-15
145548,27-Jan-21
146005,12-Mar-15
147222,23-Sep-14
152498,23-Sep-14
152498,17-Mar-15
153303,23-Sep-14
155217,23-Sep-14
155462,12-Apr-18
156477,16-Mar-23
159360,14-Oct-15
160261,23-Sep-14
162922,2-Feb-23
168190,23-Sep-14
169420,24-Sep-14
170038,11-May-23
171450,17-Mar-15
172049,12-Apr-18
178730,6-Mar-15
179647,12-Mar-15
179817,23-Sep-14
180173,23-Sep-14
180181,24-Mar-15
181099,17-Apr-15
181846,23-Sep-14
182320,6-Mar-15
182478,23-Sep-14
184888,23-Sep-14
185930,23-Sep-14
185930,17-Mar-15
187836,23-Sep-14
189090,17-Mar-15
189090,10-May-18
189430,8-May-15
189537,23-Sep-14
190764,12-Mar-15
190764,9-Feb-23
191370,19-Aug-22
192848,26-Mar-15
199281,6-Mar-15
202053,23-Sep-14
203149,23-Sep-14
205800,23-Sep-14
206318,26-Mar-15
207640,23-Sep-14
210331,23-Sep-14
211141,13-May-22
211800,12-Mar-15
213217,26-Mar-15
213594,23-Sep-14
214256,17-Apr-15
215082,17-Mar-15
219061,12-Apr-18
219100,12-Mar-15
220418,23-Sep-14
221490,13-May-22
221538,11-Jul-18
221619,23-Sep-14
224200,23-Sep-14
224626,14-Oct-15
224847,23-Sep-14
226939,6-Mar-15
228478,17-Mar-15
234532,17-Mar-15
239356,14-Oct-15
240052,23-Sep-14
243213,14-Oct-15
243221,24-Mar-15
253464,6-Mar-15
257184,2-Feb-23
257990,11-May-22
260819,17-Apr-15
263079,17-Mar-15
263079,10-May-18
272035,23-Sep-14
272353,17-Mar-15
272353,10-May-18
273961,2-Oct-20
281140,26-Mar-15
282545,23-Sep-14
287164,2-Oct-20
287164,13-May-22
289744,23-Sep-14
291277,13-May-22
291838,6-Mar-15
291838,12-Apr-18
295981,23-Sep-14
296961,23-Sep-14
296961,8-May-15
298085,17-Mar-15
302856,12-Apr-18
303038,26-Mar-15
304670,24-Mar-15
304964,23-Sep-14
304964,6-Mar-15
312738,24-Mar-15
314781,23-Sep-14
314790,26-Mar-15
315680,23-Sep-14
317101,6-Mar-15
317101,19-Aug-22
319848,26-Mar-15
327557,12-Sep-18
329010,23-Sep-14
345113,17-Apr-15
349550,17-Mar-15
349623,12-Mar-15
356670,13-May-22
361933,12-Sep-18
364010,17-Apr-15
364096,23-Sep-14
369330,23-Sep-14
372498,13-May-22
372536,23-Sep-14
375357,2-Feb-23
375764,23-Sep-14
382736,26-Mar-15
384976,12-Apr-18
386790,23-Sep-14
386995,23-Sep-14
387134,16-Mar-23
388459,8-May-15
388459,12-Apr-18
388475,24-Mar-15
388475,12-Apr-18
389757,23-Sep-14
389773,17-Mar-15
389773,10-May-18
391298,26-Mar-15
395811,23-Sep-14
395978,6-Mar-15
396575,13-May-22
398730,12-Apr-18
400750,26-Mar-15
404535,6-Mar-15
405272,23-Sep-14
408476,11-May-22
408611,23-Sep-14
409294,23-Sep-14
410837,23-Sep-14
413038,23-Sep-14
413194,26-Mar-15
417416,23-Sep-14
422576,10-May-18
426075,17-Apr-15
426270,17-Apr-15
434132,24-Mar-15
440736,17-Mar-15
448850,23-Sep-14
453390,16-Mar-23
466476,10-May-18
466611,23-Sep-14
473871,12-Mar-15
473871,14-Oct-15
486094,23-Sep-14
489972,6-Mar-15
490873,11-May-22
500046,13-May-22
542482,19-May-22
547946,23-Sep-14
548082,6-Mar-15
548182,12-Mar-15
548183,12-Mar-15
548936,12-Mar-15
548949,12-Apr-18
549022,11-May-22
549026,13-May-22
549294,11-May-22
549344,12-Apr-18
549387,14-Oct-15
550224,2-Feb-23
550515,13-Oct-17
550897,13-May-22
551577,16-Mar-23
552397,12-Apr-18
554038,10-May-18
555284,13-May-22
555684,17-Jan-20
555854,14-Aug-20
556289,12-Apr-18
557900,5-Feb-18
558903,29-Oct-18
558903,2-Feb-23
559343,3-Dec-20
559393,28-Apr-23
559425,16-Mar-23
559657,20-Jun-18
560185,6-Aug-18
560582,16-Mar-23
560590,5-Oct-18
560954,11-May-22
561876,27-Jul-20
562209,27-Jul-20
562388,2-Oct-20
563323,11-May-22
563361,13-May-22
563554,13-May-22
564454,31-Jul-20
564693,2-Oct-20
565533,13-May-22
565562,7-May-21
565593,21-May-21
565777,28-May-21
565896,9-Jun-23
566192,9-Jul-21
566598,24-Sep-21
567277,4-Feb-22
567407,13-May-22
567629,25-Feb-22
567687,19-Aug-22
568061,13-May-22
569366,19-Jul-23
569456,21-Oct-22
569700,16-Mar-23
569887,25-May-23
570591,25-May-23
570656,25-May-23
